"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2024","1,334.35","1,480.65","1,487.95","1,322.00","367.45M","-9.63%"
"01-09-2024","1,476.58","1,510.88","1,533.47","1,445.88","297.71M","-2.19%"
"01-08-2024","1,509.62","1,512.00","1,539.72","1,433.25","259.57M","0.28%"
"01-07-2024","1,505.42","1,562.53","1,608.80","1,463.00","230.09M","-3.83%"
"01-06-2024","1,565.40","1,483.00","1,581.00","1,359.30","319.05M","9.44%"
"01-05-2024","1,430.40","1,472.00","1,492.22","1,384.00","240.62M","-2.49%"
"01-04-2024","1,467.00","1,492.47","1,494.00","1,441.50","219.50M","-1.27%"
"01-03-2024","1,485.85","1,463.50","1,512.45","1,412.90","226.19M","1.71%"
"01-02-2024","1,460.80","1,435.00","1,499.95","1,418.05","238.81M","2.40%"
"01-01-2024","1,426.62","1,290.28","1,459.97","1,284.47","265.96M","10.38%"
"01-12-2023","1,292.47","1,189.00","1,307.00","1,188.80","255.46M","8.73%"
"01-11-2023","1,188.72","1,144.58","1,205.97","1,137.60","207.13M","3.91%"
"01-10-2023","1,143.95","1,164.97","1,183.50","1,110.15","205.67M","-2.43%"
"01-09-2023","1,172.50","1,203.28","1,241.50","1,162.50","317.03M","-2.58%"
"01-08-2023","1,203.50","1,277.50","1,291.40","1,199.95","298.48M","-5.58%"
"01-07-2023","1,274.62","1,161.17","1,315.47","1,159.95","396.85M","10.11%"
"01-06-2023","1,157.63","1,125.81","1,172.95","1,112.58","206.50M","3.25%"
"01-05-2023","1,121.16","1,105.86","1,151.94","1,095.35","201.74M","2.04%"
"01-04-2023","1,098.74","1,064.46","1,100.76","1,047.92","193.68M","3.84%"
"01-03-2023","1,058.13","1,064.01","1,100.60","989.57","321.24M","0.37%"
"01-02-2023","1,054.27","1,080.33","1,118.39","1,040.86","282.17M","-1.33%"
"01-01-2023","1,068.48","1,157.52","1,182.94","1,044.49","263.64M","-7.59%"
"01-12-2022","1,156.25","1,244.58","1,250.58","1,131.31","182.61M","-6.74%"
"01-11-2022","1,239.84","1,180.22","1,246.24","1,135.73","208.83M","7.13%"
"01-10-2022","1,157.34","1,085.57","1,162.49","1,063.60","189.00M","7.23%"
"01-09-2022","1,079.33","1,172.34","1,193.70","1,049.03","237.70M","-9.86%"
"01-08-2022","1,197.44","1,143.52","1,215.12","1,138.27","217.09M","5.12%"
"01-07-2022","1,139.11","1,168.82","1,176.59","1,073.54","394.02M","-3.32%"
"01-06-2022","1,178.24","1,195.79","1,278.88","1,109.86","324.62M","-1.41%"
"01-05-2022","1,195.04","1,253.75","1,273.50","1,075.81","372.66M","-5.65%"
"01-04-2022","1,266.58","1,196.56","1,296.49","1,144.72","272.42M","5.90%"
"01-03-2022","1,195.99","1,059.68","1,220.16","989.57","290.05M","11.66%"
"01-02-2022","1,071.07","1,093.06","1,115.03","1,018.16","231.77M","-1.13%"
"01-01-2022","1,083.35","1,073.54","1,165.37","1,046.31","253.42M","0.78%"
"01-12-2021","1,074.97","1,104.41","1,134.14","1,020.02","264.36M","-1.55%"
"01-11-2021","1,091.88","1,151.28","1,181.22","1,048.12","296.50M","-5.16%"
"01-10-2021","1,151.28","1,135.71","1,248.92","1,132.55","215.77M","0.68%"
"01-09-2021","1,143.56","1,031.78","1,166.60","1,023.61","303.66M","11.56%"
"01-08-2021","1,025.04","932.51","1,036.66","926.54","260.36M","10.95%"
"01-07-2021","923.88","961.42","977.56","915.24","198.83M","-3.57%"
"01-06-2021","958.09","983.21","1,032.64","944.63","464.78M","-2.30%"
"01-05-2021","980.62","892.43","994.88","865.19","345.55M","8.31%"
"01-04-2021","905.36","916.03","929.15","851.89","301.99M","-0.43%"
"01-03-2021","909.27","957.88","1,013.13","895.92","388.27M","-3.96%"
"01-02-2021","946.81","844.04","976.86","838.86","482.25M","13.24%"
"01-01-2021","836.12","902.41","962.33","830.69","600.10M","-7.22%"
"01-12-2020","901.19","880.78","925.11","842.15","465.54M","2.88%"
"01-11-2020","875.99","920.12","950.98","833.01","864.45M","-6.07%"
"01-10-2020","932.60","1,027.61","1,048.12","903.77","519.66M","-8.05%"
"01-09-2020","1,014.24","953.25","1,075.52","927.95","757.54M","7.38%"
"01-08-2020","944.49","931.15","996.83","907.97","766.53M","0.66%"
"01-07-2020","938.32","780.76","998.10","775.33","1.23B","21.30%"
"01-06-2020","773.54","671.82","818.98","669.98","795.37M","16.37%"
"01-05-2020","664.73","647.52","726.21","632.32","927.84M","0.84%"
"01-04-2020","659.21","504.64","672.23","469.99","956.50M","31.63%"
"01-03-2020","500.82","609.34","615.59","393.75","918.58M","-16.17%"
"01-02-2020","597.45","631.92","678.10","595.81","371.04M","-5.88%"
"01-01-2020","634.77","682.59","723.51","632.77","403.47M","-6.76%"
"01-12-2019","680.82","719.47","727.36","678.12","346.19M","-2.39%"
"01-11-2019","697.50","654.27","712.34","639.67","337.25M","5.93%"
"01-10-2019","658.47","601.20","669.85","576.16","331.66M","9.92%"
"01-09-2019","599.07","558.60","600.64","527.30","366.48M","6.70%"
"01-08-2019","561.43","523.14","586.57","492.52","482.74M","7.06%"
"01-07-2019","524.42","565.70","584.57","522.69","318.96M","-6.93%"
"01-06-2019","563.48","600.31","617.96","561.48","269.08M","-5.79%"
"01-05-2019","598.12","625.94","637.40","551.97","495.05M","-4.50%"
"01-04-2019","626.30","616.04","635.11","594.01","337.06M","2.17%"
"01-03-2019","613.01","556.24","624.14","547.96","376.91M","10.74%"
"01-02-2019","553.56","554.89","594.10","542.30","352.14M","0.32%"
"01-01-2019","551.81","505.99","568.69","486.14","431.55M","9.44%"
"01-12-2018","504.19","528.31","528.31","474.40","308.37M","-3.97%"
"01-11-2018","525.01","480.20","533.31","472.15","330.47M","10.02%"
"01-10-2018","477.21","565.55","565.55","457.04","556.20M","-15.64%"
"01-09-2018","565.66","559.84","576.18","532.18","363.28M","1.31%"
"01-08-2018","558.33","535.28","597.61","524.29","300.43M","4.69%"
"01-07-2018","533.31","437.23","535.28","430.33","402.33M","21.96%"
"01-06-2018","437.28","413.69","465.86","413.00","326.22M","5.55%"
"01-05-2018","414.30","434.83","449.67","407.67","256.23M","-4.35%"
"01-04-2018","433.16","401.55","454.61","398.07","254.19M","9.13%"
"01-03-2018","396.92","427.07","431.64","395.71","268.13M","-7.53%"
"01-02-2018","429.23","433.14","437.35","391.66","292.62M","-0.70%"
"01-01-2018","432.26","414.91","445.60","407.58","266.75M","4.37%"
"01-12-2017","414.17","415.69","422.19","387.91","244.04M","-0.05%"
"01-11-2017","414.39","426.17","431.46","392.56","264.18M","-2.05%"
"01-10-2017","423.07","357.49","430.69","353.15","302.40M","20.48%"
"01-09-2017","351.15","359.70","392.33","350.34","352.46M","-2.05%"
"01-08-2017","358.50","364.85","374.33","344.00","259.63M","-1.28%"
"01-07-2017","363.15","312.11","366.82","308.25","448.18M","17.04%"
"01-06-2017","310.27","299.64","324.97","294.31","341.79M","2.93%"
"01-05-2017","301.43","315.22","315.22","291.18","296.37M","-3.91%"
"01-04-2017","313.69","301.73","330.00","300.61","417.56M","5.63%"
"01-03-2017","296.98","278.82","300.75","275.88","605.01M","6.69%"
"01-02-2017","278.36","235.20","282.57","229.78","464.85M","18.45%"
"01-01-2017","235.00","243.72","246.75","227.71","250.13M","-3.44%"
"01-12-2016","243.36","224.83","243.94","221.80","266.43M","9.33%"
"01-11-2016","222.60","236.37","237.41","209.10","264.17M","-5.82%"
"01-10-2016","236.35","244.39","253.22","234.59","249.72M","-3.00%"
"01-09-2016","243.65","236.75","253.96","225.35","414.90M","2.24%"
